title,authors,year,url,topic_tag
"Unraveling the Complexity of Memory in RL Agents: an Approach for Systematic Evaluation",,2024,https://arxiv.org/abs/2412.06531,"reinforcement learning,memory agents"
"Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize External Memory via Reinforcement Learning",,2025,https://arxiv.org/abs/2508.19828,"reinforcement learning,memory agents"
"Memo: Training Memory-Efficient Embodied Agents with Reinforcement Learning",,2025,https://arxiv.org/abs/2510.19732,"reinforcement learning,memory agents"
"Mem-α: Learning Memory Construction via Reinforcement Learning",,2025,https://arxiv.org/abs/2509.25911,"reinforcement learning,memory agents"
"Memory-T1: Reinforcement Learning for Temporal Reasoning in Multi-Agent Dialogue Systems",,2025,https://arxiv.org/abs/2512.20092,"reinforcement learning,memory agents"
"MemSearcher: Training LLMs to Reason, Search and Manage Memory via End-to-End Reinforcement Learning",,2025,https://arxiv.org/abs/2511.02805,"reinforcement learning,memory agents"
"EARL: Efficient Agentic Reinforcement Learning Systems for Large Language Models",,2025,https://arxiv.org/abs/2510.05943,"reinforcement learning,memory agents"
"Reinforcement Learning for Long-Horizon Interactive LLM Agents",,2025,https://arxiv.org/abs/2502.01600,"reinforcement learning,memory agents"
"Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning",,2024,https://arxiv.org/abs/2403.01112,"reinforcement learning,memory agents"
"Memory in the Age of AI Agents: A Survey on Emerging Research Frontiers",,2025,https://arxiv.org/abs/2512.13564,"reinforcement learning,memory agents"
